sample,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,qc_pass,origin
DT-10601,76.56,23.44,672,7324,False,T
DC-39106,97.2,2.8,334,4860,False,C
DD-26547,100.0,0.0,1,2,False,D
DC-57295,44.85,55.16,2490,105898,False,C
DN-80343,43.67,56.38,2125,125798,False,N
DD-12663,34.28,65.71,2134,81968,False,D
DN-60124,72.01,28.01,967,83095,False,N
DC-94686,72.85,27.16,787,46266,False,C
DT-88208,11.47,88.54,7054,286111,False,T
DD-47867,5.96,94.02,7567,342715,False,D
DD-58350,8.85,91.15,6686,366494,False,D
DN-14939,30.14,69.9,2832,133121,False,N
DN-11389,51.14,48.79,1611,57573,False,N
DT-64538,60.03,39.99,1570,47888,False,T
DN-95225,89.98,10.02,358,3420,False,N
DN-42556,68.08,31.94,679,20801,False,N
DD-37988,7.68,92.28,7567,409785,False,D
DN-93058,5.22,94.78,7039,482660,False,N
DC-22064,48.43,51.58,1300,135779,False,C
DD-64156,48.49,51.51,1304,103740,False,D
DT-17229,11.18,88.79,5651,262634,False,T
DD-45708,48.15,51.89,1905,85299,False,D
DC-30501,13.09,86.93,4138,323343,False,C
DT-21495,27.81,72.19,1435,284852,False,T
DN-42281,5.63,94.35,7522,506958,False,N
DC-46734,21.1,78.91,2789,387848,False,C
DN-39826,39.18,60.85,1582,292653,False,N
DC-27524,16.8,83.22,3982,133982,False,C
DN-40309,30.35,69.69,1780,149623,False,N
DD-81433,79.49,20.51,663,111190,False,D
DT-72663,6.45,93.56,6751,369694,False,T
DD-66337,7.45,92.57,5003,335236,False,D
DN-74417,5.31,94.72,7522,394551,False,N
DC-32710,13.9,86.13,3956,263220,False,C
DN-89713,8.17,91.82,7054,339327,False,N
DN-37177,7.14,92.84,7055,635668,False,N
DC-56776,7.59,92.39,6047,426617,False,C
DD-46612,6.49,93.51,6877,354960,False,D
DT-91176,50.76,49.28,1881,56209,False,T
DN-79285,71.27,28.72,660,27691,False,N
DN-93696,69.46,30.56,950,20616,False,N
DT-34121,48.04,51.96,1622,136329,False,T
DN-93768,88.53,11.47,632,7431,False,N
DC-45578,5.92,94.1,7217,474634,False,C
DC-31098,21.46,78.54,3549,393735,False,C
DT-74152,44.9,55.13,1475,109574,False,T
DD-29681,16.81,83.2,5026,178982,False,D
DD-46939,86.62,13.4,669,61617,False,D
DT-98041,79.16,20.84,663,23999,False,T
DD-40319,5.77,94.23,8597,434199,False,D
DN-27535,7.69,92.32,7055,510413,False,N
DD-97186,5.69,94.33,8846,476611,False,D
DN-51968,9.67,90.36,7055,463062,False,N
DD-28018,11.22,88.79,4115,223443,False,D
DD-43789,43.58,56.43,376,306017,False,D
DD-38734,8.4,91.63,5894,277976,False,D
DC-33514,5.72,94.3,7055,575615,False,C
DC-96039,7.03,92.96,7259,357604,False,C
DD-16845,7.79,92.21,5417,427215,False,D
DD-54054,20.01,79.98,4061,183226,False,D
DC-82803,55.14,44.86,1589,193423,False,C
DC-64673,92.49,7.52,352,17666,False,C
DD-26873,50.38,49.62,1444,56010,False,D
DD-31398,68.65,31.35,960,28677,False,D
DN-29383,97.31,2.69,330,543,False,N
DD-14354,7.9,92.15,7055,408494,False,D
DN-13771,25.57,74.42,3265,289672,False,N
DD-16692,74.69,25.31,666,88390,False,D
DD-52829,12.27,87.73,4629,239957,False,D
DC-20457,10.44,89.57,5651,245069,False,C
DC-33517,24.59,75.42,3132,326797,False,C
DD-20528,5.45,94.55,7288,426690,False,D
DN-87137,38.88,61.13,1888,94432,False,N
DD-72673,43.29,56.71,1601,78312,False,D
DN-89845,7.11,92.89,7135,303220,False,N
DD-11059,12.23,87.78,5651,485798,False,D
DT-53672,16.79,83.2,3146,236980,False,T
DN-32630,6.32,93.69,8582,396377,False,N
DD-23398,10.52,89.47,6431,199352,False,D
DN-80728,9.12,90.88,9208,326623,False,N
DC-99274,15.2,84.9,3862,359629,False,C
DN-50902,16.73,83.28,4451,305459,False,N
DC-57093,74.16,25.84,1258,34135,False,C
DD-30186,8.0,91.98,8597,312505,False,D
DD-88555,46.14,53.86,1475,62021,False,D
DD-23750,8.76,91.29,6683,470842,False,D
DN-86931,38.16,61.85,1595,129289,False,N
DT-97623,10.15,89.85,6489,527338,False,T
DN-11305,5.44,94.56,7057,538274,False,N
DD-41981,9.75,90.23,5793,780274,False,D
