sample,pct_N_bases,pct_covered_bases,longest_no_N_run,num_aligned_reads,qc_pass,origin
DN-64554,3.91,96.07,7055,489499,True,N
DC-31756,4.14,95.93,7055,527966,True,C
DD-28879,4.32,95.68,9033,444775,True,D
DD-22466,3.63,96.37,7055,621979,True,D
DC-95171,4.13,95.86,8855,510658,True,C
DT-54370,3.8,96.18,12196,612425,True,T
DT-97532,0.24,99.74,29786,644779,True,T
DD-48974,0.12,99.86,29822,719234,True,D
DC-90361,0.24,99.74,29786,519893,True,C
DN-98948,3.37,96.61,7055,474390,True,N
DN-76504,3.4,96.59,8855,477512,True,N
DD-37662,4.18,95.81,7085,476483,True,D
DN-66808,0.12,99.86,29820,779172,True,N
DN-37441,0.26,99.72,29812,849640,True,N
DC-62152,0.17,99.81,29808,593648,True,C
DT-68271,0.25,99.72,29780,737286,True,T
DN-79245,0.35,99.63,29785,1047579,True,N
DD-77004,0.15,99.83,29813,812484,True,D
DN-77467,0.35,99.63,29786,984446,True,N
DT-66946,0.24,99.74,29786,877584,True,T
DN-60398,0.13,99.85,29822,754212,True,N
DD-91979,0.11,99.87,29823,823187,True,D
DN-98960,0.28,99.7,29807,791694,True,N
DT-72902,0.12,99.86,29822,1099856,True,T
DC-37195,0.78,99.2,21679,687211,True,C
DD-31506,0.25,99.73,29786,980442,True,D
DN-32372,0.25,99.73,29786,809606,True,N
DC-99866,1.23,98.75,19238,944453,True,C
DT-74989,0.38,99.6,19238,649855,True,T
DT-27338,0.35,99.63,29786,860207,True,T
DN-75815,2.08,97.9,14987,825674,True,N
DC-96098,0.24,99.74,29820,1023168,True,C
DD-82918,3.19,96.79,9086,584038,True,D
DC-64420,3.7,96.3,7746,664460,True,C
DT-66036,3.32,96.66,11944,599762,True,T
DC-34214,0.34,99.64,29789,1061987,True,C
DD-63777,3.18,96.8,7054,412908,True,D
DD-73562,3.91,96.07,7522,636163,True,D
DT-51879,2.99,96.99,7834,602242,True,T
DC-38408,0.28,99.7,29808,838184,True,C
DD-58850,0.26,99.72,29812,741958,True,D
DC-71382,0.25,99.73,29786,760041,True,C
DC-38805,3.52,96.46,9112,499373,True,C
DD-25132,1.78,98.2,14597,670692,True,D
DD-81509,0.24,99.74,29820,952715,True,D
DC-29001,1.7,98.28,14385,569616,True,C
DN-27638,0.26,99.72,29813,983359,True,N
DD-32112,0.24,99.74,29780,796097,True,D
DT-60350,0.16,99.82,29817,865658,True,T
DD-57228,0.59,99.39,23030,775065,True,D
DD-45193,1.17,98.81,21707,765610,True,D
DT-70372,0.23,99.75,29786,793316,True,T
DD-48404,0.12,99.86,29820,816584,True,D
DC-85962,0.45,99.53,19238,1021813,True,C
DC-40780,0.95,99.07,14385,708909,True,C
DT-26241,0.14,99.84,29818,700581,True,T
DC-76881,0.23,99.75,21988,817119,True,C
DD-88392,0.28,99.7,21974,947538,True,D
DD-45149,2.26,97.72,19238,871388,True,D
DT-92242,0.28,99.7,29807,843807,True,T
DD-84388,0.33,99.65,29793,957118,True,D
DT-31118,0.78,99.2,19397,890254,True,T
DN-37355,0.24,99.74,29786,894239,True,N
DN-92990,0.47,99.51,23032,682032,True,N
DD-39192,0.58,99.42,19530,843701,True,D
DT-55890,0.26,99.67,29795,1117922,True,T
DD-76985,0.6,99.4,21976,680267,True,D
DT-35064,0.24,99.74,29783,785513,True,T
DC-43462,0.66,99.32,19272,934910,True,C
DD-22330,0.12,99.86,29821,916580,True,D
DN-14904,0.28,99.7,29808,620938,True,N
DC-46640,0.29,99.69,21679,836862,True,C
DD-26154,0.25,99.73,29816,801485,True,D
DT-62458,2.16,97.82,19238,671600,True,T
DN-74938,4.22,95.77,7668,705987,True,N
